"","species1","species2","SI","site"
"172","Gayophytum_diffusum","Delphinium_nelsonii"," 0.000000e+00","Road"
"173","Geranium_richardsonii","Delphinium_nelsonii"," 0.000000e+00","Road"
"174","Lathyrus_leucanthus","Delphinium_nelsonii"," 0.000000e+00","Road"
"175","Linaria_vulgaris","Delphinium_nelsonii"," 0.000000e+00","Road"
"176","Lupinus_bakeri","Delphinium_nelsonii"," 1.110223e-16","Road"
"177","Madia_glomerata","Delphinium_nelsonii"," 0.000000e+00","Road"
"178","Mertensia_ciliata","Delphinium_nelsonii",NA,"Road"
"179","Dasiphora_fruticosa","Delphinium_nelsonii","-2.220446e-16","Road"
"180","Potentilla_gracilis","Delphinium_nelsonii"," 1.110223e-16","Road"
"181","Ranunculus_inamoenus","Delphinium_nelsonii"," 7.142857e-01","Road"
"182","Taraxacum_officinale","Delphinium_nelsonii"," 4.166667e-01","Road"
"183","Valeriana_occidentalis","Delphinium_nelsonii"," 1.000000e+00","Road"
"184","Veratrum_tenuipetalum","Delphinium_nelsonii"," 0.000000e+00","Road"
"185","Achillea_millefolium","Erigeron_speciosus"," 2.594142e-01","Road"
"186","Agoseris_aurantiaca","Erigeron_speciosus"," 1.506276e-01","Road"
"187","Androsace_septentrionalis","Erigeron_speciosus"," 0.000000e+00","Road"
"188","Artemisia_tridentata","Erigeron_speciosus"," 4.602510e-02","Road"
"189","Chrysothamnus_viscidiflorus","Erigeron_speciosus"," 1.087866e-01","Road"
"190","Cirsium_arvense","Erigeron_speciosus"," 4.602510e-02","Road"
"191","Collomia_linearis","Erigeron_speciosus"," 1.549194e-01","Road"
"192","Delphinium_nelsonii","Erigeron_speciosus"," 0.000000e+00","Road"
"193","Erigeron_speciosus","Erigeron_speciosus"," 0.000000e+00","Road"
"194","Eriogonum_umbellatum","Erigeron_speciosus"," 1.548117e-01","Road"
"195","Gayophytum_diffusum","Erigeron_speciosus"," 3.933054e-01","Road"
"196","Geranium_richardsonii","Erigeron_speciosus"," 3.195176e-01","Road"
"197","Lathyrus_leucanthus","Erigeron_speciosus"," 0.000000e+00","Road"
"198","Linaria_vulgaris","Erigeron_speciosus"," 6.276151e-02","Road"
"199","Lupinus_bakeri","Erigeron_speciosus"," 8.989839e-02","Road"
"200","Madia_glomerata","Erigeron_speciosus"," 4.602510e-02","Road"
"201","Mertensia_ciliata","Erigeron_speciosus",NA,"Road"
"202","Dasiphora_fruticosa","Erigeron_speciosus"," 5.591648e-01","Road"
"203","Potentilla_gracilis","Erigeron_speciosus"," 4.587296e-01","Road"
"204","Ranunculus_inamoenus","Erigeron_speciosus"," 0.000000e+00","Road"
"205","Taraxacum_officinale","Erigeron_speciosus"," 0.000000e+00","Road"
"206","Valeriana_occidentalis","Erigeron_speciosus"," 0.000000e+00","Road"
"207","Veratrum_tenuipetalum","Erigeron_speciosus"," 3.430962e-01","Road"
"208","Achillea_millefolium","Eriogonum_umbellatum"," 3.333333e-01","Road"
"209","Agoseris_aurantiaca","Eriogonum_umbellatum"," 4.814815e-01","Road"
"210","Androsace_septentrionalis","Eriogonum_umbellatum"," 0.000000e+00","Road"
"211","Artemisia_tridentata","Eriogonum_umbellatum"," 0.000000e+00","Road"
"212","Chrysothamnus_viscidiflorus","Eriogonum_umbellatum"," 0.000000e+00","Road"
"213","Cirsium_arvense","Eriogonum_umbellatum"," 0.000000e+00","Road"
"214","Collomia_linearis","Eriogonum_umbellatum"," 3.126362e-01","Road"
"215","Delphinium_nelsonii","Eriogonum_umbellatum"," 0.000000e+00","Road"
"216","Erigeron_speciosus","Eriogonum_umbellatum"," 1.548117e-01","Road"
"217","Eriogonum_umbellatum","Eriogonum_umbellatum"," 0.000000e+00","Road"
"218","Gayophytum_diffusum","Eriogonum_umbellatum"," 0.000000e+00","Road"
"219","Geranium_richardsonii","Eriogonum_umbellatum"," 5.379085e-01","Road"
"220","Lathyrus_leucanthus","Eriogonum_umbellatum"," 4.629630e-01","Road"
"221","Linaria_vulgaris","Eriogonum_umbellatum"," 0.000000e+00","Road"
"222","Lupinus_bakeri","Eriogonum_umbellatum"," 2.756614e-01","Road"
"223","Madia_glomerata","Eriogonum_umbellatum"," 0.000000e+00","Road"
"224","Mertensia_ciliata","Eriogonum_umbellatum",NA,"Road"
"225","Dasiphora_fruticosa","Eriogonum_umbellatum"," 2.969349e-01","Road"
"226","Potentilla_gracilis","Eriogonum_umbellatum"," 2.912458e-01","Road"
"227","Ranunculus_inamoenus","Eriogonum_umbellatum"," 3.703704e-02","Road"
"228","Taraxacum_officinale","Eriogonum_umbellatum"," 0.000000e+00","Road"
"229","Valeriana_occidentalis","Eriogonum_umbellatum"," 0.000000e+00","Road"
