"","species1","species2","SI"
"359","Linaria.vulgaris","Madia.glomerata"," 0.000000e+00"
"360","Lupinus.bakeri","Madia.glomerata"," 0.000000e+00"
"361","Madia.glomerata","Madia.glomerata"," 0.000000e+00"
"362","Mertensia.ciliata","Madia.glomerata",NA
"363","Potentilla.fruticosa","Madia.glomerata"," 1.822660e-01"
"364","Potentilla.gracilis","Madia.glomerata"," 0.000000e+00"
"365","Ranunculus.inamoenus","Madia.glomerata"," 0.000000e+00"
"366","Taraxacum.officinales","Madia.glomerata"," 0.000000e+00"
"367","Valeriana.occidentalis","Madia.glomerata"," 0.000000e+00"
"368","Veratrum.tenuipetalum","Madia.glomerata"," 0.000000e+00"
"369","Achillea.millefolium","Mertensia.ciliata",NA
"370","Agoseris.aurantiaca","Mertensia.ciliata",NA
"371","Androsace.septentrionalis","Mertensia.ciliata",NA
"372","Artemisia.tridentata","Mertensia.ciliata",NA
"373","Chrysothamnus.viscidiflorus","Mertensia.ciliata",NA
"374","Cirsium.arvense","Mertensia.ciliata",NA
"375","Collomia.linearis","Mertensia.ciliata",NA
"376","Delphinium.nelsonii","Mertensia.ciliata",NA
"377","Erigeron.speciosus","Mertensia.ciliata",NA
"378","Eriogonum.umbellatum","Mertensia.ciliata",NA
"379","Gayophytum.diffusum","Mertensia.ciliata",NA
"380","Geranium.richardsonii","Mertensia.ciliata",NA
